source,target,path_length
lUjVSKfdCWU,yL2faZW8Htc,43
mlXkoUV3zqQ,d0X6H_31tgc,48
OpIyo7esbtQ,SJ1n5ecSylU,1000
x4T24P0d-jE,YRK9MD11_q8,51
AI62Y4ijmgg,G_XLwK3ItuY,5
QgJ4onNY_8I,vK1TMw4rQ24,1000
tx-RpOlM7H4,nJi56F1_yE8,10
lCqUtK0WgBM,wElZmFQjKsk,1000
ckLQF7QFmWc,BDzzf6PBr80,9
RPWi414S69M,mnkRqUN_c7s,1000
-1hkThIjUvE,CZo89Xz6OA0,36
Agm2-OqTol4,pk6g1TVysro,39
bQEYQbza2G0,OWuULYNE_1Q,1000
6jOm4Q8_6nk,Zal_U_RXLa8,29
8IpLlBhhVJs,BmJCB3yuKDk,6
fw_ebDka2IE,J5YpBdZC69w,1000
F8Mw_zVuk2I,jEFxXdR8YV0,1000
nOMDGx2xYw0,D_NQ5jQBtkE,40
kp6Eh4XGlWA,QyTKCbmiBqg,35
AagSqXud2Hw,HRpNXTx__F4,14
xKzxCgAJrxw,VgNUtpeen40,1000
YKZFxW4pvIo,gdMtLS_mV38,11
q3G9fDO5PYE,WeamNPxW6iA,33
KO9mMS_VJNU,JYkxcNy5I6o,1000
gz19ZP9roRQ,tgjhjtNrwt0,21
c2-abqUxNLU,PlQ_H8X9tvw,55
CkOiCPswOEQ,A_cqtFrCs3U,44
4vuQeCy3wEE,Klw52tQNuP0,47
HTiQhrdmgW4,tXtacme8jFk,1000
DVzY1EtzRJ8,44Wo7oCk6nM,75
0piotu35NKo,z8HWT-LGr9s,19
-yHYXQB-zfE,nJ8foFGgFko,44
JgkfhVlUo-I,GwuH25fNGww,5
IOy5YEjgIQ8,WpNnEym80RE,1000
rjnpUNnWNn4,dTrOG4g6_1c,48
0bFdbqG-Xqg,nJ9TMziTj10,4
-c0xawkXkCI,Uv0Q_lLDrFY,1000
DxOjlATR-Lw,RHTAT_UPm18,6
KevbQ0ZovOs,97ljvfv1Uj4,32
PxoqicLOEVI,EgfAzTFjr9Q,11
tbJszMDQKi0,AyaFqwt4Kkw,1000
ic0Gp-B_lPE,ArqU1MSOyMg,50
sYMpg72nSMk,6-yCKXl-ixA,16
kAykhbPS7UY,46LQd9dXFRU,8
hLaEZx-tLbs,NUMRtHG69V8,7
2yvWSNhXyME,cGFbjfzP4i4,12
JaDNn4epbYE,5RIDBS1EDgw,35
PsBWyfO7S30,xh-ZxO6ELUY,7
qtEnQh8lnH4,jLoMRNTkYTA,36
v7y-0p8FAsY,Z-ULkh-B8Pg,28
qwPOf7-WNRc,YNb5dfeI93I,3
qfeXdMasT5s,52gZIKnp-3M,1000
wuB4eYa1wSo,YRUCGsQbi5o,36
R5uDtx4fdHM,w5C10RKGA7s,1000
4NohdMkR2Uw,blQDZ7Nhr0s,16
SjQJHUlm1-g,wpo_eXIH2Tg,46
47lsy1_VjFk,RW2Nj5TSqXE,4
iN2YkTFepMU,yFKYIqrlA7I,7
NPGUPyfkEmo,_z6PzhL1bak,11
xlSPiWQpEs8,jRugKiWOF-g,1000
gziSTZPw76g,dRoY1OYH1vE,38
jjKnZBm5cS8,4CUOsWsXoBQ,34
lMoL3SJm4S4,k3mWPz1v_IU,6
p4wrU4oMO5g,LlyjFbt2-Cg,54
sIaJ-pMexwM,Ae4xiSZMdMg,39
M3DNbhAgLjw,xz4Lwo-1iRA,26
E_b67hkm8kM,NJwQtMVPFtM,1000
Y_oqB8bQPBw,cho5n5TJVgs,41
EfuCjKM1sMY,Er9HQTNnK7A,11
Z4E8ZUyMbuE,y-nk0MC2OW0,1000
MC8Zvl-8ziA,tHJYJ8YlU7s,7
Axzv3cKCeQI,TJ1YTqedCJI,5
oWNhi9B5k2E,zUKONZMtA4w,1000
P_lWauxZvA8,CmGoUfBxUvY,1000
F5U2dedHaOg,dEOHltaQ1mQ,42
Q9LEn7OA73w,azTgFbKNM-0,5
xvP3Ub_Yeb4,iUYMIeWBRR4,6
j3Vhpuoiuek,wwS7LmzoZcI,1000
3b78UoPMF9Y,P4cyIrWhPgw,16
5u0N9kkXqNE,2kWhS-nrCI8,62
2x9ABYVbSdE,fk93mXn8v6o,6
wlh1nDIUDBo,B73FtkcI4rI,31
UkjDX8KJ2tg,SIJiX3W3IGE,46
RAUVPppzj1I,OcSfecj5fu0,1000
eyT5Vb5Id5Q,H__kUJYIzfc,1000
o3FIcULUavk,rfU2BiTLaDU,1000
8jJzf5QqVis,ljMWDwVS9go,51
G3MtTfR7mXs,qxw0rbcMuag,1000
Mgn1XICWHzg,CiFg0ItgJdQ,56
TEyNbZuFu6Q,pRl1n2T20p8,56
YEc2QVsZ0sE,hhMhlRByXRo,29
lXnadBdpMgY,RQpQXRpNgdc,10
ZjN62o8NOxI,zjbfqY8ZzTk,56
Vo5w_wXzSOU,gACEhY3lIkY,48
-evklHql-GI,FvmFk60_Mqg,33
jwawX6neqQk,j9pPZs4aTcU,35
ObPj2-QT24Q,3ZjK1A5C310,25
1O58P1PAcNo,8Sm2ecle4Sk,41
N_phEaW7yHw,VVDmIV2iFCo,1000
fclBLHLADwI,mhIJOVD8hwY,1000
5hqbXn3w4mA,IklVMyZtJrE,11
-Bo0oxyvJQY,5tHIWvWH0FU,1000
GCJgwyhIrsM,aYEax1lJiO0,15
31MbZwG1KPs,DSgoSvI9GFI,59
skn2nNHH8co,WbsZWWBZwtE,23
ULxC_H177qY,R1AgFYMLXvw,38
Rn2S59jRgcM,LPhw6PhbK3E,9
DBU-e1NenyY,3g1iLyqaN7E,1000
uUI28ABedEw,cP7VrYROt-0,9
DAlbNRHnNdw,3IkQdHfLRpQ,1000
Pdbul4052eI,TE9PZRxaIU0,32
EPrQBwKH97k,N7ggMWYHUtc,10
Zk8UFNbcysA,riYG1MKWg-g,16
PW_Zkc7WAS8,9troEI9Y2S4,1000
riYG1MKWg-g,Ya9HX0QO5m0,4
WaulCm7ysBY,1W5-EQmQoFQ,1000
EAEcE_YdCZs,zTsYvD2cWkU,1000
PKGTvqt7Rwk,WruALRMretw,40
TgU0RSqT4pM,8hpsPf74h8s,45
8PjFtOt5fs0,IPR2QyNNUvQ,1000
SL3BH3la5GE,AW__zlROO7U,1000
DZrgOKIaPcY,y_Lp4851oFk,7
799CCSWcfL0,1UMvsFxz7rE,25
FRXUzxwfhPE,asB1EEy5KzY,23
FuUoCJVfxaI,aGf9USnHqQA,1000
n4C-DltGjkQ,7lPAGUoLmkQ,31
TU6ymvGAX1k,yl2cL5pnaLM,48
OeHjmptdRfA,YLZegwm1Bcg,43
rfGiTXhlZgY,etMs8xpHSzo,6
bfUvtLonV6k,bz903hiUSbE,38
